label,relative_fraction,coefficient_value,input_path,growth,quasilinear_flux,nonlinear_window_heat_flux
m0p5,-0.5,0.09943134369865134,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p5,0.345352463881768,0.7666195565581604,0.6369060776615411
m0p45,-0.45,0.10937447806851648,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p45,6.002664984567385e-11,3.3438910610980074e-10,0.1533756816998769
m0p4,-0.4,0.1193176124383816,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p4,8.881784197001213e-15,1.1307002167680785e-14,0.03466802130024438
m0p35,-0.35,0.12926074680824673,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p35,5.831454349509301e-15,7.163297716814729e-15,0.031215018733331986
m0p3,-0.3,0.13920388117811186,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p3,2.6970799497498298e-15,3.42344223753925e-15,0.03291305641545352
m0p25,-0.25,0.149147015547977,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p25,7.992720495643143e-15,9.644281045423412e-15,0.030240377367456796
m0p2,-0.2,0.15909014991784215,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p2,7.17451910307084e-15,8.863744273413623e-15,0.031178024763961424
m0p15,-0.15,0.16903328428770728,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p15,7.271960811294749e-15,8.963166500795501e-15,0.031067129997868502
m0p1,-0.1,0.1789764186575724,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p1,8.881784197001213e-15,1.064489066417004e-14,0.029951146362983797
m0p05,-0.05,0.18891955302743754,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_m0p05,9.936620118824702e-15,1.1607040018210428e-14,0.029058881121635318
0,0.0,0.19886268739730267,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_0,8.04998429027034e-15,9.19983671388268e-15,0.028110310447400207
p0p05,0.05,0.2088058217671678,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p05,5.356826093816366e-15,6.1459742175956845e-15,0.02792639422595767
p0p1,0.1,0.21874895613703296,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p1,8.24330782140271e-15,9.701753986509551e-15,0.028557448881152768
p0p15,0.15,0.22869209050689807,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p15,1.0285995464750676e-14,1.1979944007369264e-14,0.027842509201482117
p0p2,0.2,0.2386352248767632,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p2,8.881784197001213e-15,1.0236289895067454e-14,0.027154905741488464
p0p25,0.25,0.24857835924662836,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p25,1.0657991043850832e-14,1.1838836999543725e-14,0.025542595865706622
p0p3,0.3,0.25852149361649346,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p3,8.41248840773838e-15,9.27210703394413e-15,0.025017148283608015
p0p35,0.35,0.2684646279863586,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p35,9.190564975725081e-15,1.0126504581099992e-14,0.02484738995575031
p0p4,0.4,0.2784077623562237,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p4,6.217100362683549e-15,6.921210749328002e-15,0.025168497959961542
p0p45,0.45,0.2883508967260889,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p45,5.329070518200737e-15,6.158497408024321e-15,0.026275324282752786
p0p5,0.5,0.298294031095954,tools_out/vmec_boundary_transport_landscape_onepoint_wide_20260605_batched_replot/inputs/input.rbc_0_1_p0p5,7.993543947051642e-15,9.88509255001671e-15,0.02834357716652306
