device_count,active,identity_passed,rhs_max_abs_error,rhs_max_rel_error,median_s,speedup_vs_serial,speedup_gate_passed,blocked_reasons
1,True,True,0.0,0.0,0.17079745803494006,1.0,False,[]
2,True,True,7.362751519579547e-10,3.7210398304767414e-07,0.38098404207266867,0.44830606842677745,False,['speedup_below_gate']
4,True,True,7.362751519579547e-10,3.7210398304767414e-07,0.4113415000028908,0.415220584438331,False,['speedup_below_gate']
