ky,gamma,omega,kperp_eff2,heat_flux_weight_total,particle_flux_weight_total,amplitude2,saturated_heat_flux_total,saturated_particle_flux_total
1.000507250428199768e-01,1.237918740205482156e-03,4.395309252063989147e-02,2.551995962858200073e-02,4.588048905134201050e-03,0.000000000000000000e+00,4.850786436272533364e-02,2.225564539798002871e-04,0.000000000000000000e+00
2.001014500856399536e-01,3.606624612663488633e-03,1.203453614852650205e-01,9.933887422084808350e-02,1.419640518724918365e-02,0.000000000000000000e+00,3.630627627856258116e-02,5.154186088906877791e-04,0.000000000000000000e+00
3.001521825790405273e-01,5.215106839865544033e-03,2.297761209162050844e-01,2.160984873771667480e-01,2.151848562061786652e-02,0.000000000000000000e+00,2.413300945861492769e-02,5.193058170174403177e-04,0.000000000000000000e+00
4.002029001712799072e-01,5.289139546658775531e-03,3.609767373777308941e-01,3.712797462940216064e-01,2.297020331025123596e-02,0.000000000000000000e+00,1.424569909738688557e-02,3.272266045636392905e-04,0.000000000000000000e+00
5.002536177635192871e-01,4.362507958892519917e-03,4.676770054056010317e-01,5.611685514450073242e-01,1.958144456148147583e-02,0.000000000000000000e+00,7.773970846475760851e-03,1.522255791528383446e-04,0.000000000000000000e+00
