ky,mode_ky,gamma,omega,kperp_eff2,heat_flux_weight_total,particle_flux_weight_total,amplitude2,saturated_heat_flux_total,saturated_particle_flux_total
1.428999999999999992e-01,1.428571428571428492e-01,1.710411388598526844e-02,-1.585418395303268531e-03,2.389808950904406121e-02,1.186721990781801905e-01,0.000000000000000000e+00,7.157105123199215546e-01,8.493494040037606607e-02,0.000000000000000000e+00
1.905000000000000027e-01,1.904761904761904656e-01,5.253512737135158928e-02,1.620105243936064560e-02,4.237247812847386857e-02,1.950817436309003339e-01,0.000000000000000000e+00,1.239840804497307047e+00,2.418703059660728683e-01,0.000000000000000000e+00
2.857000000000000095e-01,2.857142857142856984e-01,9.440480578852475380e-02,7.156274609641991025e-02,9.447340110329346952e-02,3.612908650366030150e-01,0.000000000000000000e+00,9.992739192834423356e-01,3.610285387064314788e-01,0.000000000000000000e+00
3.810000000000000053e-01,3.809523809523809312e-01,4.170171649914083956e-02,1.244859960324584403e-01,1.655203030790094454e-01,5.122543575685108985e-01,0.000000000000000000e+00,2.519432101283366476e-01,1.290590072480394257e-01,0.000000000000000000e+00
4.762000000000000122e-01,4.761904761904761085e-01,4.888147354091262886e-02,2.128794193769161236e-01,2.537407615241994430e-01,6.270544242632826171e-01,0.000000000000000000e+00,1.926433626481048045e-01,1.207978728534501167e-01,0.000000000000000000e+00
