ky,gamma,omega
4.761904761904761640e-02,-2.273805704214735060e-02,-8.319519085801425906e-03
9.523809523809523281e-02,-1.612850968682782993e-02,-7.397998283241617908e-03
1.428571428571428492e-01,4.182113354286943856e-03,3.613581029013622926e-03
1.904761904761904656e-01,1.141557566040407937e-02,1.118604043255494451e-02
2.380952380952380820e-01,3.085591269269028283e-02,3.265271950581889737e-02
2.857142857142856984e-01,4.880132171848534234e-02,5.925295381699460101e-02
