ky,gamma,omega
9.523809523809523281e-02,-2.340560377164302777e-02,6.075171879751142118e-02
1.904761904761904656e-01,2.650818981317575387e-02,1.420370411575137271e-01
2.857142857142856984e-01,6.147058860494086785e-02,2.345218843606113324e-01
3.809523809523809312e-01,8.112464339295075155e-02,3.237693399861532040e-01
4.761904761904761640e-01,8.909385434890992883e-02,4.078026573314052494e-01
