design_name,t_end,window_start,mean,cv,trend,half_window_relative_mean_change,relative_change_vs_t400,relative_change_vs_reference,reference_t_end
qa_constraints,150.0,75.20000457763672,0.01811746507883072,0.0002887369191739708,0.0007575241033919156,0.00033142049357440695,-0.00017217604306559703,-0.000172278817024272,1000.0
qa_constraints,200.0,100.0,0.01812039315700531,5.963328658253886e-05,5.279375909594819e-05,2.1325796294330103e-05,-1.0587541752690443e-05,-1.0690332321315207e-05,1000.0
qa_constraints,300.0,150.0,0.01812058500945568,5.518585749086924e-05,0.0,0.0,0.0,-1.0279165693572314e-07,1000.0
qa_constraints,400.0,200.0,0.01812058500945568,5.518585749086924e-05,0.0,0.0,0.0,-1.0279165693572314e-07,1000.0
qa_constraints,600.0,300.0,0.01812058687210083,5.518594480236061e-05,1.068608211223258e-14,0.0,1.0279166750184896e-07,0.0,1000.0
qa_constraints,800.0,400.0,0.01812058687210083,5.518594480236061e-05,1.202784752222033e-14,0.0,1.0279166750184896e-07,0.0,1000.0
qa_constraints,1000.0,500.0,0.01812058687210083,5.518594480236061e-05,1.540026176786828e-14,0.0,1.0279166750184896e-07,0.0,1000.0
qa_plus_nonlinear_heat_flux,150.0,75.20000457763672,0.014395315200090408,0.00042170428787358105,0.0011305666994303465,0.0004990061734011861,-0.00026337365088917065,-0.00026337365088917065,1000.0
qa_plus_nonlinear_heat_flux,200.0,100.0,0.014398832805454731,7.914383604656905e-05,9.148017124971375e-05,3.7694714749314864e-05,-1.9080360268247875e-05,-1.9080360268247875e-05,1000.0
qa_plus_nonlinear_heat_flux,300.0,150.0,0.014399107545614243,6.945119093870744e-05,8.522397739775533e-13,0.0,0.0,0.0,1000.0
qa_plus_nonlinear_heat_flux,400.0,200.0,0.014399107545614243,6.945119093870744e-05,1.0579668516036075e-13,0.0,0.0,0.0,1000.0
qa_plus_nonlinear_heat_flux,600.0,300.0,0.014399108476936817,6.945175118744373e-05,0.0,0.0,6.467918734999279e-08,6.467918734999279e-08,1000.0
qa_plus_nonlinear_heat_flux,800.0,400.0,0.014399110339581966,6.94530681357719e-05,1.2109173527178468e-13,0.0,1.940375620499784e-07,1.940375620499784e-07,1000.0
qa_plus_nonlinear_heat_flux,1000.0,500.0,0.014399107545614243,6.945119093870744e-05,1.5504393287898294e-13,0.0,0.0,0.0,1000.0
