term,seconds,norm
field_solve,0.00011381012154743075,0.053106553852558136
build_H,0.0003165776142850518,0.12811286747455597
streaming,0.0004134660121053457,0.02924925461411476
linked_grad_z,0.00035737548023462296,0.02924925461411476
mirror,0.0005956218810752034,0.0005122731090523303
curvature_gradb,0.00019111641449853778,0.05280611291527748
diamagnetic,0.0003007675986737013,0.03662176802754402
collisions,0.0001284414902329445,0.0
hypercollisions,0.0004737771232612431,0.00023511429026257247
linked_abs_kz,0.0003629253478720784,0.00023511429026257247
hyperdiffusion,0.00026406708639115095,0.0010770104127004743
end_damping,0.00020917964866384864,0.0036051839124411345
full_linear_rhs,0.005479192244820297,0.06555178761482239
