case,label,backend,status,returncode,runtime_s,warmup_time_s,run_time_s,peak_rss_mb,host,cwd,command,stdout_log,stderr_log
kbm-linear,KBM Linear,spectrax_gpu,success,0,17.21881800000847,,,1528.56640625,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/linear/axisymmetric/kbm_runtime_linear.py --ky 0.3 --Nl 48 --Nm 16 --solver krylov,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-linear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-linear__spectrax_gpu.stderr.log
kbm-linear,KBM Linear,gx,success,0,2441.6904462920065,,,1951.1484375,office,/home/rjorge/GX/benchmarks/linear/KBM,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && python3 - <<'PY'
from pathlib import Path
import re
p = Path('kbm_salpha.in')
text = p.read_text()
text = re.sub(r'(?m)^\s*t_max\s*=.*$', ' t_max = 4.0', text)
p.write_text(text)
PY
CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx kbm_salpha.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-linear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-linear__gx.stderr.log
kbm-nonlinear,KBM Nonlinear,spectrax_cpu,success,0,540.320017082995,,,4822.18359375,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/nonlinear/axisymmetric/kbm_runtime_nonlinear.py --ky 0.3 --Nl 4 --Nm 8 --steps 267 --dt 0.0003,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-nonlinear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-nonlinear__spectrax_cpu.stderr.log
kbm-nonlinear,KBM Nonlinear,spectrax_gpu,success,0,43.73934062500484,,,1847.66015625,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/nonlinear/axisymmetric/kbm_runtime_nonlinear.py --ky 0.3 --Nl 4 --Nm 8 --steps 267 --dt 0.0003,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-nonlinear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-nonlinear__spectrax_gpu.stderr.log
kbm-nonlinear,KBM Nonlinear,gx,success,0,8.684286040996085,,,1965.32421875,office,/home/rjorge/GX/benchmarks/nonlinear/KBM,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx kbm_salpha_nonlinear_short_dense.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-nonlinear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-nonlinear__gx.stderr.log
w7x-linear,W7-X Linear,spectrax_cpu,success,0,27.73842241600505,,,1309.51171875,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/linear/non-axisymmetric/w7x_linear_imported_geometry.py --geometry-file /home/rjorge/gx_refs/main_clean_20260312/linear/w7x/itg_w7x_adiabatic_electrons_t2.eik.nc --ky 0.3 --Nl 8 --Nm 16 --solver explicit_time,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/w7x-linear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/w7x-linear__spectrax_cpu.stderr.log
w7x-linear,W7-X Linear,spectrax_gpu,success,0,17.08670370800246,,,1554.921875,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/linear/non-axisymmetric/w7x_linear_imported_geometry.py --geometry-file /home/rjorge/gx_refs/main_clean_20260312/linear/w7x/itg_w7x_adiabatic_electrons_t2.eik.nc --ky 0.3 --Nl 8 --Nm 16 --solver explicit_time,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/w7x-linear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/w7x-linear__spectrax_gpu.stderr.log
w7x-linear,W7-X Linear,gx,success,0,34.42638329100737,,,1969.3671875,office,/home/rjorge/gx_refs/main_clean_20260312/linear/w7x,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && python3 - <<'PY'
from pathlib import Path
import re
p = Path('itg_w7x_adiabatic_electrons_t2.in')
text = p.read_text()
text = re.sub(r'(?m)^\s*geo_option\s*=.*$', ' geo_option = ""nc""', text)
text = re.sub(r'(?m)^\s*vmec_file\s*=.*\n', '', text)
if re.search(r'(?m)^\s*geo_file\s*=.*$', text):
    text = re.sub(r'(?m)^\s*geo_file\s*=.*$', ' geo_file = ""itg_w7x_adiabatic_electrons_t2.eik.nc""', text)
else:
    text = text.replace('[Geometry]\n', '[Geometry]\n geo_file = ""itg_w7x_adiabatic_electrons_t2.eik.nc""\n', 1)
text = re.sub(r'(?m)^\s*t_max\s*=.*$', ' t_max = 2.0', text)
p.write_text(text)
PY
PATH=${REFERENCE_GK_PYTHON_BIN:-/home/rjorge/miniforge3/envs/qh-gpu/bin}:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Z9fVU1:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/homebrew/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=${REFERENCE_GK_NETCDF_LIBDIR:-/home/rjorge/local/install/netcdf-c-4.9.2/lib}:/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx itg_w7x_adiabatic_electrons_t2.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_gx_fix/w7x-linear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_gx_fix/w7x-linear__gx.stderr.log
w7x-nonlinear,W7-X Nonlinear,spectrax_cpu,success,0,473.98539683299896,,,6336.46484375,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Z9fVU1:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/nonlinear/non-axisymmetric/w7x_nonlinear_imported_geometry.py --geometry-file /home/rjorge/gx_refs/main_clean_20260312/nonlinear/w7x/w7x_adiabatic_electrons.eik.nc --ky 0.047619047619047616 --Nl 4 --Nm 8 --steps 200 --dt 0.1,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_patch/w7x-nonlinear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_patch/w7x-nonlinear__spectrax_cpu.stderr.log
w7x-nonlinear,W7-X Nonlinear,spectrax_gpu,success,0,50.79343708399392,,,1964.80078125,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Z9fVU1:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/nonlinear/non-axisymmetric/w7x_nonlinear_imported_geometry.py --geometry-file /home/rjorge/gx_refs/main_clean_20260312/nonlinear/w7x/w7x_adiabatic_electrons.eik.nc --ky 0.047619047619047616 --Nl 4 --Nm 8 --steps 200 --dt 0.1,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_patch/w7x-nonlinear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_patch/w7x-nonlinear__spectrax_gpu.stderr.log
w7x-nonlinear,W7-X Nonlinear,gx,success,0,110.96869337499083,,,2186.76171875,office,/home/rjorge/GX/benchmarks/nonlinear/w7x,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && python3 - <<'PY'
from pathlib import Path
import re
p = Path('w7x_adiabatic_electrons.in')
text = p.read_text()
text = re.sub(r'(?m)^\s*geo_option\s*=.*$', ' geo_option = ""nc""', text)
text = re.sub(r'(?m)^\s*vmec_file\s*=.*\n', '', text)
if re.search(r'(?m)^\s*geo_file\s*=.*$', text):
    text = re.sub(r'(?m)^\s*geo_file\s*=.*$', ' geo_file = ""w7x_adiabatic_electrons.eik.nc""', text)
else:
    text = text.replace('[Geometry]\n', '[Geometry]\n geo_file = ""w7x_adiabatic_electrons.eik.nc""\n', 1)
text = re.sub(r'(?m)^\s*t_max\s*=.*$', ' t_max = 20.0', text)
p.write_text(text)
PY
PATH=${REFERENCE_GK_PYTHON_BIN:-/home/rjorge/miniforge3/envs/qh-gpu/bin}:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Z9fVU1:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/homebrew/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=${REFERENCE_GK_NETCDF_LIBDIR:-/home/rjorge/local/install/netcdf-c-4.9.2/lib}:/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx w7x_adiabatic_electrons.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_gx_fix/w7x-nonlinear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_gx_fix/w7x-nonlinear__gx.stderr.log
hsx-linear,HSX Linear,spectrax_cpu,success,0,56.14784554101061,,,1227.2265625,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/linear/non-axisymmetric/hsx_linear_imported_geometry.py --geometry-file /home/rjorge/gx_refs/main_clean_20260312/linear/hsx/hsx_linear.eik.nc --ky 0.047619047619047616 --Nl 8 --Nm 8 --solver explicit_time --dt 0.005 --t-max 2.0,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/hsx-linear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/hsx-linear__spectrax_cpu.stderr.log
hsx-linear,HSX Linear,spectrax_gpu,success,0,18.297465542011196,,,1559.28515625,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/linear/non-axisymmetric/hsx_linear_imported_geometry.py --geometry-file /home/rjorge/gx_refs/main_clean_20260312/linear/hsx/hsx_linear.eik.nc --ky 0.047619047619047616 --Nl 8 --Nm 8 --solver explicit_time --dt 0.005 --t-max 2.0,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/hsx-linear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/hsx-linear__spectrax_gpu.stderr.log
hsx-linear,HSX Linear,gx,success,0,124.48299050000787,,,2117.12109375,office,/home/rjorge/gx_refs/main_clean_20260312/linear/hsx,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && python3 - <<'PY'
from pathlib import Path
import re
p = Path('hsx_linear.in')
text = p.read_text()
text = re.sub(r'(?m)^\s*geo_option\s*=.*$', ' geo_option = ""nc""', text)
text = re.sub(r'(?m)^\s*vmec_file\s*=.*\n', '', text)
if re.search(r'(?m)^\s*geo_file\s*=.*$', text):
    text = re.sub(r'(?m)^\s*geo_file\s*=.*$', ' geo_file = ""hsx_linear.eik.nc""', text)
else:
    text = text.replace('[Geometry]\n', '[Geometry]\n geo_file = ""hsx_linear.eik.nc""\n', 1)
text = re.sub(r'(?m)^\s*t_max\s*=.*$', ' t_max = 2.0', text)
p.write_text(text)
PY
PATH=${REFERENCE_GK_PYTHON_BIN:-/home/rjorge/miniforge3/envs/qh-gpu/bin}:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Z9fVU1:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/homebrew/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=${REFERENCE_GK_NETCDF_LIBDIR:-/home/rjorge/local/install/netcdf-c-4.9.2/lib}:/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx hsx_linear.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_gx_fix/hsx-linear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_stellarator_gx_fix/hsx-linear__gx.stderr.log
hsx-nonlinear,HSX Nonlinear,spectrax_cpu,success,0,646.5386474999978,,,6368.1640625,office,/tmp/spectrax_perf_live_v10,PATH=/home/rjorge/miniforge3/envs/qh-gpu/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Z9fVU1:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/homebrew/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/nonlinear/non-axisymmetric/hsx_nonlinear_imported_geometry.py --geometry-file /home/rjorge/gx_refs/main_clean_20260312/nonlinear/hsx/hsx_nonlinear.eik.nc --ky 0.047619047619047616 --Nl 4 --Nm 8 --steps 200 --dt 0.1,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_hsx_local_fix/hsx-nonlinear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_hsx_local_fix/hsx-nonlinear__spectrax_cpu.stderr.log
