route,median_s,mean_s,min_s,max_s
serial,0.0005437290528789163,0.0005540206329897046,0.0005097920075058937,0.0006374160293489695
logical_domain,0.0005052915075793862,0.0005055050132796168,0.00046991603448987007,0.0005354579770937562
pencil_domain,0.0007239585393108428,0.0007488543633371592,0.0006847500335425138,0.0008361669024452567
