ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.100,0.034724,0.083083,36.990272,468.754134,1064.280,5641.004
0.200,0.158507,0.130817,0.041761,0.109148,-0.737,-0.166
0.300,0.229960,0.236270,0.370267,-0.094536,0.610,-1.400
0.400,0.264569,0.351986,0.585234,-0.117862,1.212,-1.335
0.500,0.253870,0.467768,0.453845,-0.405328,0.788,-1.867
0.550,0.216512,0.567623,0.437027,-0.431429,1.018,-1.760
0.550,0.216512,0.567623,0.223977,-0.596247,0.034,-2.050
