requested_devices,actual_workers,timed_wall_s,wall_s,strong_speedup_vs_1_device,parallel_efficiency,ensemble_mean_heat_flux_proxy,ensemble_std_heat_flux_proxy,max_heat_flux_proxy_abs_error,max_heat_flux_proxy_rel_error,max_gamma_abs_error,identity_gate_pass,error
1,1,7.726621076930314,29.354421640280634,1.0,1.0,1.5652019555370014,0.41596591247325504,0.0,0.0,0.0,True,
2,2,4.537545682163909,19.386293226853013,1.7028194575102478,0.8514097287551239,1.5652019555370014,0.41596591247325504,0.0,0.0,0.0,True,
4,4,2.8132817351724952,14.565342747606337,2.746479664773624,0.686619916193406,1.5652019555370014,0.41596591247325504,0.0,0.0,0.0,True,
8,6,1.4276048778556287,10.599341684021056,5.412296635282087,0.6765370794102609,1.5652019555370014,0.41596591247325504,0.0,0.0,0.0,True,
