ky,serial_gamma,batched_gamma,gamma_rel_error,serial_omega,batched_omega,omega_abs_error
0.1,0.048174948980368386,0.048174948980368386,0.0,0.07279797324112476,0.07279797324112476,0.0
0.2,0.053601372928824505,0.053601372928824505,0.0,0.16047576708453,0.16047576708453,0.0
0.3,0.05817545073415459,0.05817545073415459,0.0,0.2676976223786666,0.2676976223786666,0.0
0.4,0.05889590171308552,0.05889590171308552,0.0,0.3868827330214637,0.3868827330214637,0.0
