sample,surface_index,torflux,surface,alpha,ky,selected_ky_index,selected_ky,ky_abs_error,weight,minus_value,base_value,plus_value
0,,0.5,0.5,0.0,0.1,1,0.10000000149011612,1.4901161138336505e-09,0.25,2.5034726782196293,2.4988841497952174,2.493861080663351
1,,0.5,0.5,0.0,0.2,2,0.20000000298023224,2.980232227667301e-09,0.25,2.0990583677064953,2.091512728974186,2.0836681657694336
2,,0.7,0.7,0.0,0.1,1,0.10000000149011612,1.4901161138336505e-09,0.25,2.086028371413563,2.086028371413563,2.086028371413563
3,,0.7,0.7,0.0,0.2,2,0.20000000298023224,2.980232227667301e-09,0.25,1.5264186844366059,1.5264186844366059,1.5264186844366059
