ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.100,0.205736,0.600424,-0.045818,-0.122027,-1.223,-1.203
0.200,0.338459,0.833866,0.081076,-0.054194,-0.760,-1.065
0.300,0.313749,1.075906,0.113860,-0.012909,-0.637,-1.012
0.400,0.243252,1.337840,0.191471,-0.001105,-0.213,-1.001
0.500,0.169281,1.598891,0.294484,0.068658,0.740,-0.957
