ky,gamma,omega
9.523809523809523281e-02,-4.602027731277768402e-02,-3.664914271346841196e-02
1.904761904761904656e-01,-1.395167968838653336e-02,-4.773094087344729314e-02
2.857142857142856984e-01,2.779344390825718922e-02,-2.712226457856497727e-02
3.809523809523809312e-01,6.351470006978270078e-02,1.080529671747239122e-02
4.761904761904761640e-01,9.619024426968479646e-02,6.251699694840691379e-02
