label,sweep,closure_source,source_path,kx_target,kx_selected,kx_index,analysis_tmax,raw_tmax,n_samples_used,Nl,Nm,initial_level,mean_abs_error,max_abs_error,tail_mean,tail_std,tail_abs_max,reference_tail_std,hermite_tail_at_tmax,laguerre_tail_at_tmax,free_energy_at_tmax_over_initial
Nl8 Nm32 none,moment_resolution,none,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,100.0,1980.0106201171875,10,8,32,2.820925999458268e-07,0.2947798596280461,0.6186764372297231,0.5335215955747618,0.12675316054381197,0.6989375885808833,0.029152192746821983,0.2448979610686406,0.04027486870555696,1.9495241500120624
Nl12 Nm48 none,moment_resolution,none,tools_out/zonal_response/w7x_recurrence_nl12_nm48_none_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,100.0,100.00020599365234,59,12,48,2.820915767642873e-07,0.2761868293295642,0.5794377150741784,0.3534257273905253,0.1000656349998177,0.5445954571261177,0.026468544560944007,0.3101830131688138,0.03814821165924799,1.9473827898238298
Nl16 Nm64 none,moment_resolution,none,tools_out/zonal_response/w7x_publication_nl16_nm64_dt005_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,99.99961853027344,99.99961853027344,44,16,64,2.820915767642873e-07,0.28322407295361973,0.5694078633647334,0.27161933465852955,0.11866334350913668,0.4893773585761115,0.03062690695322768,0.38811776541950027,0.03768590935305609,1.9433489358389833
Nl16 Nm64 none baseline,closure_source,none,tools_out/zonal_response/w7x_publication_nl16_nm64_dt005_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,99.99961853027344,99.99961853027344,44,16,64,2.820915767642873e-07,0.28322407295361973,0.5694078633647334,0.27161933465852955,0.11866334350913668,0.4893773585761115,0.03062690695322768,0.38811776541950027,0.03768590935305609,1.9433489358389833
Nl16 Nm64 const,closure_source,const,tools_out/zonal_response/w7x_closure_probe_nl16_nm64_nuhm003_const_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,100.0,100.00020599365234,59,16,64,2.820915767642873e-07,0.2905067395160614,0.5738397575010933,0.21518372409090797,0.1223052985444938,0.43663860178343744,0.026468544560944007,0.061982752733493025,0.03221579317293867,0.37364645744729835
Nl16 Nm64 kz,closure_source,kz,tools_out/zonal_response/w7x_recurrence_nl16_nm64_kz003_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,100.0,100.00020599365234,59,16,64,2.820915767642873e-07,0.2864059126870099,0.5737135133844672,0.2603401086495949,0.1189233340315392,0.4844536365207202,0.026468544560944007,0.34942448099800655,0.03818248009967465,1.777429096979629
