ky,gamma_ref,omega_ref,gamma_spectrax,omega_spectrax,rel_gamma,rel_omega
0.300,0.093018,0.281990,0.094845,0.291736,0.020,0.035
0.400,0.080897,0.374950,0.165510,0.511024,1.046,0.363
