implementation,integrator,state,window_passed,late_mean,sem,running_mean_rel_drift,terminal_mean_rel_delta,matched_relative_reduction,matched_uncertainty_z_score,promotion_passed
SPECTRAX-GK,first-order fixed-step IMEX,baseline,False,15.450849769364146,0.26283183002963806,0.21338995983913803,0.14632727496001113,-0.048152176646554246,-2.417190962902284,False
SPECTRAX-GK,first-order fixed-step IMEX,treatment,False,16.19484181679794,0.16017286306687217,0.0978886193033397,0.11363461695653287,-0.048152176646554246,-2.417190962902284,False
comparison,fixed-step RK4,baseline,True,11.715438489913941,0.2156720245504898,0.13399612935164476,0.07456768689770114,-0.24823412386539873,-11.292780641653483,False
comparison,fixed-step RK4,treatment,True,14.623610099156698,0.14072890518085288,0.05175158923735539,0.023175172238403027,-0.24823412386539873,-11.292780641653483,False
