label,source_path,kx_target,kx_selected,kx_index,tmin,tmax,n_time,Nm,Nl,hermite_tail_count,laguerre_tail_count,initial_level,phi_tail_mean,phi_tail_std,phi_tail_abs_max,free_energy_last_over_first,hermite_tail_last,hermite_tail_max,laguerre_tail_last,laguerre_tail_max,corner_tail_last,corner_tail_max
long_Nl8_Nm32,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc,0.05,0.05000000074505806,2,0.10000000149011612,3460.136474609375,350,32,8,4,2,2.8209245783727965e-07,0.03258220548015587,1.2988202789435166,2.5737608921733526,2.392028806533856,0.12123793227892868,0.3769989974168554,0.17945198938045545,0.19135897063663843,0.030309281523300827,0.03352917495364575
long_Nl8_Nm32,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,0.10000000149011612,1980.0106201171875,200,32,8,4,2,2.820925999458268e-07,0.13757403747217997,0.595297041702192,1.8274030550965412,2.0353554292373017,0.12328391749988304,0.371631079566139,0.10523365629569703,0.12779369452100037,0.016133239561813447,0.027499790086201507
long_Nl8_Nm32,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx100.out.nc,0.1,0.10000000149011612,2,0.10000000149011612,1980.0106201171875,200,32,8,4,2,2.8209356628394744e-07,0.09398249738415362,0.43913516840632394,1.0544084124536475,2.030259602787712,0.11930859311058475,0.35931121104644537,0.11225989963710506,0.13303048924753072,0.012842516268626416,0.03074227884728618
long_Nl8_Nm32,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx300.out.nc,0.3,0.30000001192092896,2,0.10000000149011612,1980.0106201171875,200,32,8,4,2,2.8210067171130504e-07,0.5261427742517993,0.16986375990440197,0.850691373311363,1.6594598390049726,0.08733053773826892,0.24554286044917267,0.10864452103982339,0.11586166146571247,0.008474908734714681,0.016101930758672413
short_Nl16_Nm64_t100,tools_out/zonal_response/w7x_publication_nl16_nm64_dt005_t100/w7x_test4_kx050.out.nc,0.05,0.05000000074505806,2,0.05000000074505806,99.99961853027344,44,64,16,8,4,2.8209151992086845e-07,-0.09377276438865845,0.14949805546774367,0.28819502412693815,1.9570573101371374,0.39742481387556455,0.39742481387556455,0.03811555419872897,0.03864726465845869,0.001351013268951874,0.001351013268951874
short_Nl16_Nm64_t100,tools_out/zonal_response/w7x_publication_nl16_nm64_dt005_t100/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,2,0.05000000074505806,99.99961853027344,44,64,16,8,4,2.820915767642873e-07,0.27161933465852955,0.11866334350913668,0.4893773585761115,1.9433489358389833,0.38811776541950027,0.38811776541950027,0.03768590935305609,0.03784350627848036,0.0014127607038195277,0.0015362343978381897
short_Nl16_Nm64_t100,tools_out/zonal_response/w7x_publication_nl16_nm64_dt005_t100/w7x_test4_kx100.out.nc,0.1,0.10000000149011612,2,0.05000000074505806,99.99961853027344,44,64,16,8,4,2.8209254310240794e-07,0.5247767011761043,0.08060416622309141,0.6808228690282733,1.9175530830982441,0.358778009128558,0.358778009128558,0.03756045400244865,0.03756045400244865,0.0018018491610366071,0.0018018491610366071
short_Nl16_Nm64_t100,tools_out/zonal_response/w7x_publication_nl16_nm64_dt005_t100/w7x_test4_kx300.out.nc,0.3,0.30000001192092896,2,0.05000000074505806,99.99961853027344,44,64,16,8,4,2.8209430524839263e-07,0.7952585602319449,0.05367582367101198,0.9060144311850782,1.584044497046043,0.25291694190529496,0.25291694190529496,0.04060075415434017,0.04063240667402502,0.0029794217490140963,0.0030787034104392684
